 区站号 站名              经度    纬度     台站高度
58343 武进                  119.93   31.77 1257.00
58346 宜兴                  119.81   31.36  376.00
58356 昆山                  120.95   31.41  148.00
58357 苏州                  120.63   31.32  767.00
58362 上海                  121.48   31.40  117.00
58402 英山                  115.67   30.73 1011.00
58408 蕲春                  115.38   30.23  207.00
58417 宿松                  116.13   30.17  299.00
58419 东至                  117.02   30.10 1236.00
58427 贵池                  117.48   30.67  439.00
58433 宣城                  118.75   30.93 1082.00
58448 临安                  119.70   30.23  990.00
58450 湖州                  120.11   30.88 1460.00
58452 嘉兴                  120.73   30.78  947.00
58453 绍兴                  120.63   30.00  137.00
58457 杭州                  120.17   30.23  214.00
58462 松江                  121.25   31.00  191.00
58467 慈溪                  121.22   30.27 1372.00
58500 阳新                  115.16   29.83  621.00
58502 九江                  116.00   29.73  626.00
58503 瑞昌                  115.65   29.68 1237.00
58510 湖口                  116.21   29.73  271.00
58527 景德镇                117.20   29.30  352.00
58529 婺源                  117.98   29.35 1278.00
58530 歙县                  118.31   29.83  734.00
58531 屯溪                  118.28   29.72  289.00
58547 龙游                  119.18   29.03  712.00
58549 金华                  119.65   29.11  383.00
58562 鄞县                  121.57   29.87 1487.00
58567 宁海                  121.43   29.30  237.00
58606 南昌                  115.92   28.60  107.00
58607 南昌县                115.95   28.55  603.00
58608 樟树                  115.55   28.06  842.00
58612 余干                  116.68   28.70 1374.00
58620 乐平                  117.13   28.97   74.00
58626 贵溪                  117.22   28.30  127.00
58633 衢县                  118.87   28.97 1415.00
58635 广丰                  118.20   28.43 1273.00
58646 丽水                  119.92   28.45  250.00
58647 龙泉                  119.13   28.08  835.00
58652 仙居                  120.73   28.86  615.00
58659 温州                  120.67   28.00 1157.00
58665 椒江                  122.25   28.63 1288.00
58715 南城                  116.65   27.58 1123.00
58718 南丰                  116.38   27.20  261.00
58731 浦城                  118.53   27.92 1444.00
58734 建阳                  118.11   27.33  244.00
58751 平阳                  120.55   27.68 1494.00
58806 宁都                  115.83   26.36  140.00
58813 广昌                  116.33   26.85  529.00
58818 宁化                  116.63   26.23  348.00
58824 明溪                  117.15   26.40 1290.00
58836 古田                  118.73   26.58 1257.00
58843 霞浦                  120.00   26.88 1112.00
58847 福州                  119.28   26.08 1081.00
58912 连城                  116.75   25.71  277.00
58926 龙岩                  117.40   25.30 1155.00
58936 仙游                  118.70   25.36  686.00
58941 长乐                  119.56   25.93 1341.00
59001 隆林                  105.35   24.78  815.00
59007 广南                  105.07   24.07 1489.00
59023 河池                  108.05   24.70 1019.00
59034 宜州                  108.83   24.50  424.00
59037 都安                  108.10   23.93 1473.00
59044 沙塘                  109.30   24.40 1106.00
59058 蒙山                  110.52   24.20  885.00
59063 江华                  111.45   25.18  757.00
59072 连州                  112.38   24.78 1427.00
59082 韶关                  113.58   24.80 1495.00
59092 龙南                  114.76   24.88  114.00
59102 寻乌                  115.65   24.95  919.00
59117 梅县                  116.12   24.30 1121.00
59124 南靖                  117.36   24.51  209.00
59126 漳州                  117.65   24.50 1486.00
59129 漳浦                  117.60   24.13 1035.00
59137 晋江                  118.56   24.81   87.00
59205 富宁                  105.63   23.65  710.00
59211 百色                  106.60   23.90  949.00
59218 靖西                  106.41   23.13 1231.00
59227 天等                  107.15   23.08  837.00
59228 平果                  107.58   23.31 1203.00
59249 贵港                  109.61   23.11  280.00
59254 桂平                  110.08   23.40  939.00
59266 苍梧                  111.25   23.41  663.00
59278 高要                  112.47   23.05 1043.00
59288 南海                  113.10   23.01 1084.00
59293 河源                  114.68   23.73 1437.00
59312 潮州                  116.63   23.66  925.00
59426 扶绥                  107.90   22.55  785.00
59431 南宁                  108.22   22.63   96.00
59446 灵山                  109.30   22.41 1310.00
59453 玉林                  110.16   22.65 1068.00
59485 中山                  113.35   22.53  489.00
59502 陆丰                  115.65   22.95  948.00
59632 钦州                  108.62   21.95  466.00
59640 合浦                  109.18   21.67 1041.00
59655 化州                  110.61   21.65  654.00
59663 阳江                  111.97   21.87 1259.00
59754 徐闻                  110.16   20.33 1088.00
59757 琼山                  110.37   20.00  851.00
59845 儋县                  109.58   19.52  191.00
59849 琼中                  109.83   19.03  190.00
59954 陵水                  110.03   18.50   93.00
