 区站号 站名              经度    纬度     台站高度
53487 大同                  113.33   40.10  237.00
53491 怀安                  114.40   40.68 1130.00
53492 阳原                  114.16   40.11  516.00
53498 宣化                  115.03   40.56  739.00
53505 锡林高勒              105.38   39.08  653.00
53513 临河                  107.40   40.77 1359.00
53547 乌审召                109.03   39.10  728.00
53553 准格尔旗              110.86   39.66 1460.00
53564 河曲                  111.15   39.38  961.00
53578 朔州                  112.43   39.30  111.00
53585 凡峙                  113.53   39.26  769.00
53593 蔚县                  114.57   39.83  624.00
53594 灵邱                  114.18   39.45 1371.00
53596 完县                  115.15   38.83   51.00
53611 平罗                  106.55   38.91  354.00
53614 银川                  106.22   38.48 1014.00
53615 陶乐                  106.68   38.81  347.00
53618 永宁                  106.23   38.25 1308.00
53619 灵武                  106.30   38.12   53.00
53646 榆林                  109.70   38.23  804.00
53663 五寨                  111.81   38.93  537.00
53665 岚县                  111.65   38.28  364.00
53674 忻州                  112.70   38.41 1157.00
53677 北郊                  112.48   37.93  146.00
53680 灵寿                  114.38   38.30 1396.00
53681 五台                  113.36   38.83  652.00
53682 曲阳                  114.68   38.63  494.00
53688 行唐                  114.55   38.45  387.00
53689 晋具                  115.07   38.02 1233.00
53690 阜平                  114.18   38.85  889.00
53691 正定                  114.57   38.15 1161.00
53692 唐县                  114.98   38.73  440.00
53693 井陉                  114.13   38.03  441.00
53694 平山                  114.20   38.25 1031.00
53695 新乐                  114.68   38.35  959.00
53696 定州                  113.00   38.51 1473.00
53697 藁城                  114.81   38.01  108.00
53699 无极                  114.96   38.20   96.00
53704 中卫                  105.18   37.53  203.00
53705 中宁                  105.67   37.48 1455.00
53707 兴仁堡                105.25   36.93  332.00
53723 盐池                  107.40   37.78 1187.00
53725 定边                  107.58   37.58 1273.00
53754 绥德                  110.21   37.50  845.00
53759 石楼                  110.81   37.00  841.00
53764 离石                  111.10   37.50 1255.00
53769 汾阳                  111.76   37.25  433.00
53772 太原                  112.55   37.78  850.00
53773 临漳                  114.61   36.33  705.00
53775 太谷                  112.58   37.41 1216.00
53777 交城                  112.15   37.53  648.00
53780 寿阳                  113.17   37.90 1199.00
53781 沙河                  114.46   36.86 1111.00
53783 昔阳                  113.70   37.60 1414.00
53784 赵县                  114.73   37.76  410.00
53789 栾城                  114.63   37.88 1397.00
53790 高邑                  114.62   37.60 1376.00
53791 元氏                  114.53   37.75  725.00
53792 内邱                  114.38   37.45  264.00
53795 赞皇                  114.36   37.65  790.00
53797 内丘                  114.50   37.28 1086.00
53799 巨鹿                  115.03   37.21 1299.00
53806 海原                  105.65   36.57  238.00
53810 同心                  105.91   36.98  845.00
53817 固原                  106.26   36.00 1119.00
53821 环县                  107.30   36.58   52.00
53845 延安                  109.50   36.60  387.00
53853 隰县                  110.95   36.70 1328.00
53857 宜川                  110.18   36.07  544.00
53859 吉县                  110.18   36.10 1138.00
53863 介休                  111.93   37.05 1251.00
53868 临汾                  111.50   36.06  329.00
53872 沁县                  112.68   36.76 1392.00
53877 安泽                  112.25   36.16 1168.00
53881 韦州                  106.48   37.28 1049.00
53882 长治                  113.06   36.05 1146.00
53883 任县                  114.70   37.13  556.00
53886 涉县                  113.66   36.56 1041.00
